model,n_samples,split,strategy,metric,score,similar
yolo11n,1024,test_b01,grid_search,map50,0.4406,False
yolo11n,1024,test_b02,baseline,map50,0.7154,False
yolo11n,1024,test_b02,bo_exploration,map50,0.6919,False
yolo11n,1024,test_b02,bo_exploitation,map50,0.6952,False
yolo11n,1024,test_b02,grid_search,map50,0.7276,False
yolo11n,1024,test_b03,baseline,map50,0.6331,False
yolo11n,1024,test_b03,bo_exploration,map50,0.459,False
yolo11n,1024,test_b03,bo_exploitation,map50,0.4324,False
yolo11n,1024,test_b03,grid_search,map50,0.3248,False
yolo11m,64,test_a01,baseline,map50,0.873,True
yolo11m,64,test_a01,bo_exploration,map50,0.8734,True
yolo11m,64,test_a01,bo_exploitation,map50,0.8721,True
yolo11m,64,test_a01,grid_search,map50,0.878,True
yolo11m,64,test_a02,baseline,map50,0.71,True
yolo11m,64,test_a02,bo_exploration,map50,0.7322,True
yolo11m,64,test_a02,bo_exploitation,map50,0.6452,True
yolo11m,64,test_a02,grid_search,map50,0.6572,True
yolo11m,64,test_a03,baseline,map50,0.7124,True
yolo11m,64,test_a03,bo_exploration,map50,0.707,True
yolo11m,64,test_a03,bo_exploitation,map50,0.6975,True
yolo11m,64,test_a03,grid_search,map50,0.7026,True
yolo11m,64,test_b01,baseline,map50,0.5634,False
yolo11m,64,test_b01,bo_exploration,map50,0.6687,False
yolo11m,64,test_b01,bo_exploitation,map50,0.6683,False
yolo11m,64,test_b01,grid_search,map50,0.6698,False
yolo11m,64,test_b02,baseline,map50,0.6422,False
yolo11m,64,test_b02,bo_exploration,map50,0.6718,False
yolo11m,64,test_b02,bo_exploitation,map50,0.6718,False
yolo11m,64,test_b02,grid_search,map50,0.6718,False
yolo11m,64,test_b03,baseline,map50,0.1094,False
yolo11m,64,test_b03,bo_exploration,map50,0.2489,False
yolo11m,64,test_b03,bo_exploitation,map50,0.2479,False
yolo11m,64,test_b03,grid_search,map50,0.2489,False
yolo11m,256,test_a01,baseline,map50,0.9364,True
yolo11m,256,test_a01,bo_exploration,map50,0.9226,True
yolo11m,256,test_a01,bo_exploitation,map50,0.9294,True
yolo11m,256,test_a01,grid_search,map50,0.9298,True
yolo11m,256,test_a02,baseline,map50,0.8388,True
yolo11m,256,test_a02,bo_exploration,map50,0.754,True
yolo11m,256,test_a02,bo_exploitation,map50,0.751,True
yolo11m,256,test_a02,grid_search,map50,0.8138,True
yolo11m,256,test_a03,baseline,map50,0.8106,True
yolo11m,256,test_a03,bo_exploration,map50,0.7849,True
yolo11m,256,test_a03,bo_exploitation,map50,0.7849,True
yolo11m,256,test_a03,grid_search,map50,0.7849,True
yolo11m,256,test_b01,baseline,map50,0.6252,False
yolo11m,256,test_b01,bo_exploration,map50,0.5885,False
yolo11m,256,test_b01,bo_exploitation,map50,0.5885,False
yolo11m,256,test_b01,grid_search,map50,0.6536,False
yolo11m,256,test_b02,baseline,map50,0.7247,False
yolo11m,256,test_b02,bo_exploration,map50,0.7301,False
yolo11m,256,test_b02,bo_exploitation,map50,0.6833,False
yolo11m,256,test_b02,grid_search,map50,0.6947,False
yolo11m,256,test_b03,baseline,map50,0.6909,False
yolo11m,256,test_b03,bo_exploration,map50,0.5431,False
yolo11m,256,test_b03,bo_exploitation,map50,0.5689,False
yolo11m,256,test_b03,grid_search,map50,0.4223,False
yolo11m,1024,test_a01,baseline,map50,0.961,True
yolo11m,1024,test_a01,bo_exploration,map50,0.9441,True
yolo11m,1024,test_a01,bo_exploitation,map50,0.9416,True
yolo11m,1024,test_a01,grid_search,map50,0.9435,True
yolo11m,1024,test_a02,baseline,map50,0.8887,True
yolo11m,1024,test_a02,bo_exploration,map50,0.7975,True
yolo11m,1024,test_a02,bo_exploitation,map50,0.8166,True
yolo11m,1024,test_a02,grid_search,map50,0.833,True
yolo11m,1024,test_a03,baseline,map50,0.8913,True
yolo11m,1024,test_a03,bo_exploration,map50,0.908,True
yolo11m,1024,test_a03,bo_exploitation,map50,0.908,True
yolo11m,1024,test_a03,grid_search,map50,0.908,True
yolo11m,1024,test_b01,baseline,map50,0.8269,False
yolo11m,1024,test_b01,bo_exploration,map50,0.8511,False
yolo11m,1024,test_b01,bo_exploitation,map50,0.847,False
yolo11m,1024,test_b01,grid_search,map50,0.6454,False
yolo11m,1024,test_b02,baseline,map50,0.7574,False
yolo11m,1024,test_b02,bo_exploration,map50,0.7748,False
yolo11m,1024,test_b02,bo_exploitation,map50,0.7748,False
yolo11m,1024,test_b02,grid_search,map50,0.7748,False
yolo11m,1024,test_b03,baseline,map50,0.7013,False
yolo11m,1024,test_b03,bo_exploration,map50,0.6523,False
yolo11m,1024,test_b03,bo_exploitation,map50,0.6527,False
yolo11m,1024,test_b03,grid_search,map50,0.3111,False
yolo11n,64,test_a01,baseline,map50,0.8885,True
yolo11n,64,test_a01,bo_exploration,map50,0.8902,True
yolo11n,64,test_a01,bo_exploitation,map50,0.8848,True
yolo11n,64,test_a01,grid_search,map50,0.8682,True
yolo11n,64,test_a02,baseline,map50,0.7213,True
yolo11n,64,test_a02,bo_exploration,map50,0.6789,True
yolo11n,64,test_a02,bo_exploitation,map50,0.653,True
yolo11n,64,test_a02,grid_search,map50,0.6491,True
yolo11n,64,test_a03,baseline,map50,0.6773,True
yolo11n,64,test_a03,bo_exploration,map50,0.6709,True
yolo11n,64,test_a03,bo_exploitation,map50,0.635,True
yolo11n,64,test_a03,grid_search,map50,0.5737,True
yolo11n,64,test_b01,baseline,map50,0.5292,False
yolo11n,64,test_b01,bo_exploration,map50,0.5499,False
yolo11n,64,test_b01,bo_exploitation,map50,0.5465,False
yolo11n,64,test_b01,grid_search,map50,0.5537,False
yolo11n,64,test_b02,baseline,map50,0.6596,False
yolo11n,64,test_b02,bo_exploration,map50,0.6244,False
yolo11n,64,test_b02,bo_exploitation,map50,0.6202,False
yolo11n,64,test_b02,grid_search,map50,0.602,False
yolo11n,64,test_b03,baseline,map50,0.4492,False
yolo11n,64,test_b03,bo_exploration,map50,0.205,False
yolo11n,64,test_b03,bo_exploitation,map50,0.4171,False
yolo11n,64,test_b03,grid_search,map50,0.2133,False
yolo11n,256,test_a01,baseline,map50,0.9395,True
yolo11n,256,test_a01,bo_exploration,map50,0.8908,True
yolo11n,256,test_a01,bo_exploitation,map50,0.8949,True
yolo11n,256,test_a01,grid_search,map50,0.8838,True
yolo11n,256,test_a02,baseline,map50,0.8367,True
yolo11n,256,test_a02,bo_exploration,map50,0.7518,True
yolo11n,256,test_a02,bo_exploitation,map50,0.7458,True
yolo11n,256,test_a02,grid_search,map50,0.7309,True
yolo11n,256,test_a03,baseline,map50,0.7763,True
yolo11n,256,test_a03,bo_exploration,map50,0.7966,True
yolo11n,256,test_a03,bo_exploitation,map50,0.7958,True
yolo11n,256,test_a03,grid_search,map50,0.6362,True
yolo11n,256,test_b01,baseline,map50,0.6461,False
yolo11n,256,test_b01,bo_exploration,map50,0.5045,False
yolo11n,256,test_b01,bo_exploitation,map50,0.4952,False
yolo11n,256,test_b01,grid_search,map50,0.4689,False
yolo11n,256,test_b02,baseline,map50,0.7694,False
yolo11n,256,test_b02,bo_exploration,map50,0.6942,False
yolo11n,256,test_b02,bo_exploitation,map50,0.699,False
yolo11n,256,test_b02,grid_search,map50,0.6916,False
yolo11n,256,test_b03,baseline,map50,0.5903,False
yolo11n,256,test_b03,bo_exploration,map50,0.3196,False
yolo11n,256,test_b03,bo_exploitation,map50,0.4834,False
yolo11n,256,test_b03,grid_search,map50,0.259,False
yolo11n,1024,test_a01,baseline,map50,0.9561,True
yolo11n,1024,test_a01,bo_exploration,map50,0.9461,True
yolo11n,1024,test_a01,bo_exploitation,map50,0.9458,True
yolo11n,1024,test_a01,grid_search,map50,0.9446,True
yolo11n,1024,test_a02,baseline,map50,0.8324,True
yolo11n,1024,test_a02,bo_exploration,map50,0.7865,True
yolo11n,1024,test_a02,bo_exploitation,map50,0.787,True
yolo11n,1024,test_a02,grid_search,map50,0.7817,True
yolo11n,1024,test_a03,baseline,map50,0.8113,True
yolo11n,1024,test_a03,bo_exploration,map50,0.7729,True
yolo11n,1024,test_a03,bo_exploitation,map50,0.7884,True
yolo11n,1024,test_a03,grid_search,map50,0.7517,True
yolo11n,1024,test_b01,baseline,map50,0.7231,False
yolo11n,1024,test_b01,bo_exploration,map50,0.7311,False
yolo11n,1024,test_b01,bo_exploitation,map50,0.6296,False
yolo11n,1024,test_b01,grid_search,map50,0.5717,False
yolo11n,1024,test_b02,baseline,map50,0.8339,False
yolo11n,1024,test_b02,bo_exploration,map50,0.8022,False
yolo11n,1024,test_b02,bo_exploitation,map50,0.7848,False
yolo11n,1024,test_b02,grid_search,map50,0.7894,False
yolo11n,1024,test_b03,baseline,map50,0.6082,False
yolo11n,1024,test_b03,bo_exploration,map50,0.5188,False
yolo11n,1024,test_b03,bo_exploitation,map50,0.4401,False
yolo11n,1024,test_b03,grid_search,map50,0.3638,False
yolo11m,64,test_a01,baseline,map50,0.8761,True
yolo11m,64,test_a01,bo_exploration,map50,0.8441,True
yolo11m,64,test_a01,bo_exploitation,map50,0.8633,True
yolo11m,64,test_a01,grid_search,map50,0.8352,True
yolo11m,64,test_a02,baseline,map50,0.6502,True
yolo11m,64,test_a02,bo_exploration,map50,0.5073,True
yolo11m,64,test_a02,bo_exploitation,map50,0.5142,True
yolo11m,64,test_a02,grid_search,map50,0.5073,True
yolo11m,64,test_a03,baseline,map50,0.6653,True
yolo11m,64,test_a03,bo_exploration,map50,0.7065,True
yolo11m,64,test_a03,bo_exploitation,map50,0.6202,True
yolo11m,64,test_a03,grid_search,map50,0.5499,True
yolo11m,64,test_b01,baseline,map50,0.4278,False
yolo11m,64,test_b01,bo_exploration,map50,0.5481,False
yolo11m,64,test_b01,bo_exploitation,map50,0.5336,False
yolo11m,64,test_b01,grid_search,map50,0.5381,False
yolo11m,64,test_b02,baseline,map50,0.6508,False
yolo11m,64,test_b02,bo_exploration,map50,0.5703,False
yolo11m,64,test_b02,bo_exploitation,map50,0.5674,False
yolo11m,64,test_b02,grid_search,map50,0.5506,False
yolo11m,64,test_b03,baseline,map50,0.2869,False
yolo11m,64,test_b03,bo_exploration,map50,0.2209,False
yolo11m,64,test_b03,bo_exploitation,map50,0.2255,False
yolo11m,64,test_b03,grid_search,map50,0.1677,False
yolo11m,256,test_a01,baseline,map50,0.9298,True
yolo11m,256,test_a01,bo_exploration,map50,0.9129,True
yolo11m,256,test_a01,bo_exploitation,map50,0.9081,True
yolo11m,256,test_a01,grid_search,map50,0.9129,True
yolo11m,256,test_a02,baseline,map50,0.8345,True
yolo11m,256,test_a02,bo_exploration,map50,0.786,True
yolo11m,256,test_a02,bo_exploitation,map50,0.7824,True
yolo11m,256,test_a02,grid_search,map50,0.7669,True
yolo11m,256,test_a03,baseline,map50,0.8209,True
yolo11m,256,test_a03,bo_exploration,map50,0.8359,True
yolo11m,256,test_a03,bo_exploitation,map50,0.8164,True
yolo11m,256,test_a03,grid_search,map50,0.8273,True
yolo11m,256,test_b01,baseline,map50,0.7302,False
yolo11m,256,test_b01,bo_exploration,map50,0.748,False
yolo11m,256,test_b01,bo_exploitation,map50,0.7457,False
yolo11m,256,test_b01,grid_search,map50,0.741,False
yolo11m,256,test_b02,baseline,map50,0.6155,False
yolo11m,256,test_b02,bo_exploration,map50,0.6045,False
yolo11m,256,test_b02,bo_exploitation,map50,0.6025,False
yolo11m,256,test_b02,grid_search,map50,0.6413,False
yolo11m,256,test_b03,baseline,map50,0.5537,False
yolo11m,256,test_b03,bo_exploration,map50,0.5622,False
yolo11m,256,test_b03,bo_exploitation,map50,0.5312,False
yolo11m,256,test_b03,grid_search,map50,0.4969,False
yolo11m,1024,test_a01,baseline,map50,0.9566,True
yolo11m,1024,test_a01,bo_exploration,map50,0.9569,True
yolo11m,1024,test_a01,bo_exploitation,map50,0.9483,True
yolo11m,1024,test_a01,grid_search,map50,0.9569,True
yolo11m,1024,test_a02,baseline,map50,0.8686,True
yolo11m,1024,test_a02,bo_exploration,map50,0.8207,True
yolo11m,1024,test_a02,bo_exploitation,map50,0.8176,True
yolo11m,1024,test_a02,grid_search,map50,0.8376,True
yolo11m,1024,test_a03,baseline,map50,0.8999,True
yolo11m,1024,test_a03,bo_exploration,map50,0.8851,True
yolo11m,1024,test_a03,bo_exploitation,map50,0.8818,True
yolo11m,1024,test_a03,grid_search,map50,0.8985,True
yolo11m,1024,test_b01,baseline,map50,0.8457,False
yolo11m,1024,test_b01,bo_exploration,map50,0.8533,False
yolo11m,1024,test_b01,bo_exploitation,map50,0.8575,False
yolo11m,1024,test_b01,grid_search,map50,0.8607,False
yolo11m,1024,test_b02,baseline,map50,0.6793,False
yolo11m,1024,test_b02,bo_exploration,map50,0.6882,False
yolo11m,1024,test_b02,bo_exploitation,map50,0.6824,False
yolo11m,1024,test_b02,grid_search,map50,0.6881,False
yolo11m,1024,test_b03,baseline,map50,0.7991,False
yolo11m,1024,test_b03,bo_exploration,map50,0.6989,False
yolo11m,1024,test_b03,bo_exploitation,map50,0.7298,False
yolo11m,1024,test_b03,grid_search,map50,0.7894,False
yolo11n,64,test_a01,baseline,map50,0.8558,True
yolo11n,64,test_a01,bo_exploration,map50,0.8307,True
yolo11n,64,test_a01,bo_exploitation,map50,0.8307,True
yolo11n,64,test_a01,grid_search,map50,0.8307,True
yolo11n,64,test_a02,baseline,map50,0.6702,True
yolo11n,64,test_a02,bo_exploration,map50,0.617,True
yolo11n,64,test_a02,bo_exploitation,map50,0.5934,True
yolo11n,64,test_a02,grid_search,map50,0.5938,True
yolo11n,64,test_a03,baseline,map50,0.6687,True
yolo11n,64,test_a03,bo_exploration,map50,0.6285,True
yolo11n,64,test_a03,bo_exploitation,map50,0.7036,True
yolo11n,64,test_a03,grid_search,map50,0.6355,True
yolo11n,64,test_b01,baseline,map50,0.5438,False
yolo11n,64,test_b01,bo_exploration,map50,0.3247,False
yolo11n,64,test_b01,bo_exploitation,map50,0.4519,False
yolo11n,64,test_b01,grid_search,map50,0.464,False
yolo11n,64,test_b02,baseline,map50,0.723,False
yolo11n,64,test_b02,bo_exploration,map50,0.704,False
yolo11n,64,test_b02,bo_exploitation,map50,0.6704,False
yolo11n,64,test_b02,grid_search,map50,0.6601,False
yolo11n,64,test_b03,baseline,map50,0.3646,False
yolo11n,64,test_b03,bo_exploration,map50,0.4469,False
yolo11n,64,test_b03,bo_exploitation,map50,0.287,False
yolo11n,64,test_b03,grid_search,map50,0.2788,False
yolo11n,256,test_a01,baseline,map50,0.9387,True
yolo11n,256,test_a01,bo_exploration,map50,0.923,True
yolo11n,256,test_a01,bo_exploitation,map50,0.9364,True
yolo11n,256,test_a01,grid_search,map50,0.902,True
yolo11n,256,test_a02,baseline,map50,0.8351,True
yolo11n,256,test_a02,bo_exploration,map50,0.774,True
yolo11n,256,test_a02,bo_exploitation,map50,0.7558,True
yolo11n,256,test_a02,grid_search,map50,0.7572,True
yolo11n,256,test_a03,baseline,map50,0.7271,True
yolo11n,256,test_a03,bo_exploration,map50,0.7098,True
yolo11n,256,test_a03,bo_exploitation,map50,0.6924,True
yolo11n,256,test_a03,grid_search,map50,0.6287,True
yolo11n,256,test_b01,baseline,map50,0.6712,False
yolo11n,256,test_b01,bo_exploration,map50,0.5787,False
yolo11n,256,test_b01,bo_exploitation,map50,0.5873,False
yolo11n,256,test_b01,grid_search,map50,0.5379,False
yolo11n,256,test_b02,baseline,map50,0.7674,False
yolo11n,256,test_b02,bo_exploration,map50,0.6595,False
yolo11n,256,test_b02,bo_exploitation,map50,0.7638,False
yolo11n,256,test_b02,grid_search,map50,0.6605,False
yolo11n,256,test_b03,baseline,map50,0.6559,False
yolo11n,256,test_b03,bo_exploration,map50,0.3666,False
